Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
1250, 2934, 127
1276, 3003, 129
1313, 3073, 131
1340, 3004, 133
1353, 3003, 135
1378, 3143, 137
1398, 3003, 139
1422, 3283, 141
1449, 3772, 143
1456, 3213, 145
1467, 3143, 147
1487, 3213, 149
1511, 3143, 151
1514, 3632, 153
1549, 3283, 155
1553, 3283, 157
1583, 3353, 159
1605, 3562, 161
1630, 3352, 163
1651, 3352, 165
1665, 4051, 167
1687, 3423, 169
1713, 3562, 171
1732, 3492, 173
1736, 3422, 175
1758, 3492, 177
1784, 3562, 179
1802, 3562, 181
1824, 3562, 183
1838, 3562, 185
1851, 3632, 187
1873, 3702, 189
1895, 3772, 191
1932, 3841, 193
1943, 3701, 195
1965, 3772, 197
1980, 3702, 199

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
199, 100, 4051,0, 2749


AVL Search
Item, Running Time, Numer of comparisons
11, 2165, 7
41, 1885, 7
47, 1815, 7
68, 1816, 7
82, 1886, 7
101, 1885, 7
124, 1886, 7
156, 1886, 7
164, 1886, 7
176, 1816, 7
198, 1815, 7
211, 1815, 7
235, 1886, 7
252, 1816, 7
262, 1816, 7
290, 1886, 7
318, 1885, 7
339, 1815, 7
358, 1816, 7
386, 1747, 7
393, 1816, 7
415, 1816, 7
432, 1816, 7
440, 1746, 7
465, 1886, 7
488, 1886, 7
495, 1885, 7
515, 1886, 7
539, 1816, 7
546, 1816, 7
569, 1886, 7
588, 1955, 7
604, 1956, 7
619, 1816, 7
637, 1816, 7
667, 1816, 7
687, 1886, 7
712, 1816, 7
731, 1816, 7
765, 1816, 7
781, 1886, 7
814, 1816, 7
836, 1746, 7
869, 1816, 7
893, 1816, 7
902, 1815, 7
922, 1885, 7
941, 1816, 7
958, 2025, 8
968, 1955, 8
983, 2235, 8
1002, 2025, 8
1023, 1956, 8
1045, 2095, 8
1057, 2096, 8
1076, 1955, 8
1084, 9708, 8
1100, 2025, 8
1118, 1956, 8
